case_type,procedure
harassment,"1. Document the Incident: Keep a detailed record of the harassment, including dates, times, and any witnesses.\n2. Evidence Collection: Gather supporting evidence such as messages, emails, photos, or video footage.\n3. Report to Authorities: File a complaint at your nearest police station or online portal if available.\n4. File an FIR: Ensure that an FIR is filed for the harassment case.\n5. Police Investigation: Law enforcement will investigate the complaint, which may involve interviews and collecting more evidence.\n6. Legal Representation: Consider hiring a lawyer to represent your interests and guide you through the legal proceedings.\n7. Court Proceedings: If necessary, the case will go to court where both parties will present their arguments.\n8. Restraining Orders: You may request a restraining order against the harasser for your safety.\n9. Victim Support: Seek support from legal, psychological, or social resources during the case.\n10. Path to Homepage: Click here to go back to the homepage.\n11. File a Case: Click on 'File a Case' to report the harassment.\n12. Provide Details: Fill in all necessary details about the harassment.\n13. Upload Evidence: Attach any relevant evidence or documentation.\n14. Submit: Review the details and submit your case for further action."
possession_of_stolen_goods,"1. Report to Police: Notify law enforcement if you suspect someone is in possession of stolen goods.\n2. Evidence Gathering: Collect evidence like photos, videos, or other proof of the stolen goods.\n3. File an FIR: Visit the nearest police station and file an FIR for possession of stolen goods.\n4. Police Investigation: The police will begin an investigation to verify the origin of the goods.\n5. Suspect Interrogation: If the suspect is identified, the police will question them about the goods.\n6. Legal Verification: Authorities will compare the goods with reported thefts to confirm if they are stolen.\n7. Seizure of Goods: The police may seize the goods in question as part of the investigation.\n8. Court Case: If the goods are proven to be stolen, a case will be filed in court.\n9. Legal Representation: Hire a lawyer for assistance during the legal proceedings.\n10. Trial and Sentencing: The court will decide based on the evidence, and the accused may face penalties if convicted.\n11. Return of Goods: If you are the victim, you may request the return of your stolen goods.\n12. Path to Homepage: Click here to go back to the homepage.\n13. File a Case: Click on 'File a Case' to report possession of stolen goods.\n14. Provide Details: Fill in all required information regarding the case.\n15. Upload Evidence: Attach evidence related to the stolen goods possession.\n16. Submit: Review and submit the case for further action."
public_brawling,"1. Report the Incident: Immediately inform law enforcement about the public brawl.\n2. Gather Evidence: Collect any available evidence such as videos, photos, or witness information.\n3. File an FIR: Visit the nearest police station to file a First Information Report (FIR).\n4. Medical Assistance: If anyone is injured, ensure they receive medical attention and obtain medical reports.\n5. Police Investigation: The police will investigate by interviewing witnesses and reviewing evidence.\n6. Arrest of Participants: If necessary, the police may arrest the individuals involved in the brawl.\n7. Legal Representation: Seek legal counsel if needed, especially if you are a witness or participant.\n8. Court Proceedings: If charges are pressed, the case will proceed in court, where evidence and statements will be presented.\n9. Sentencing: If the participants are found guilty, they will face appropriate legal consequences.\n10. Conflict Mediation: In some cases, mediation may be encouraged to resolve the conflict outside of court.\n11. Path to Homepage: Click here to go back to the homepage.\n12. File a Case: Click on 'File a Case' to report the public brawling incident.\n13. Provide Details: Fill in the required details about the incident.\n14. Upload Evidence: Attach any relevant photos, videos, or documents.\n15. Submit: Review the information and submit your case for further action."
illegal_firearm_possession,"1. Report the Incident: Notify law enforcement about the illegal possession of firearms you witnessed.\n2. Evidence Collection: Gather any evidence related to the possession, such as photos or witness statements.\n3. File an FIR: Visit the nearest police station to file an FIR regarding the illegal firearm possession.\n4. Police Investigation: The police will investigate the matter, including gathering additional evidence.\n5. Arrest of Suspects: If evidence supports the claim, law enforcement will arrest individuals involved.\n6. Firearm Examination: The seized firearm will be examined for its origin and legality.\n7. Court Proceedings: The case will be taken to court where evidence will be presented.\n8. Legal Representation: Seek legal counsel to navigate through the legal proceedings.\n9. Sentencing: If found guilty, the individual will face penalties as per law.\n10. Victim Protection: If necessary, request measures for your safety against possible retaliation.\n11. Path to Homepage: Click here to go back to the homepage.\n12. File a Case: Click on 'File a Case' to report illegal firearm possession.\n13. Provide Details: Fill in all necessary details about the incident.\n14. Upload Evidence: Attach any relevant evidence or documentation.\n15. Submit: Review your information and submit the case for further action."
vehicle_registration_fraud,"1. Identify Fraud: Determine if there has been fraudulent activity related to vehicle registration.\n2. Gather Evidence: Collect relevant documents, including registration papers, receipts, and any correspondence.\n3. Notify Authorities: Contact your local vehicle registration authority or the police to report the fraud.\n4. File a Report: Visit the appropriate agency to file an official report of the fraud.\n5. Investigation: Authorities will investigate the claim and verify the registration details.\n6. Cooperation: Provide any requested information or documentation to assist in the investigation.\n7. Rectification: Work with authorities to correct any fraudulent registrations.\n8. Legal Action: Be prepared for possible legal action against the perpetrators of the fraud.\n9. Monitor Status: Keep track of the case status and stay in contact with the authorities.\n10. Path to Homepage: Click here to go back to the homepage.\n11. File a Case: Click on 'File a Case' to report the vehicle registration fraud.\n12. Provide Details: Fill in all necessary details about the fraud.\n13. Upload Evidence: Attach any evidence or documents related to the case.\n14. Submit: Review the information and submit your case for further action."
drug_trafficking,"1. Report the Incident: Immediately notify law enforcement about suspected drug trafficking activities.\n2. Collect Evidence: Gather any relevant evidence such as photographs, videos, or witness statements related to the trafficking.\n3. File an FIR: Visit the nearest police station to file a First Information Report (FIR) regarding the drug trafficking.\n4. Law Enforcement Investigation: Police will initiate an investigation based on your report, which may involve surveillance.\n5. Raids and Arrests: If sufficient evidence is found, law enforcement will conduct raids and make arrests.\n6. Seizure of Drugs: All illegal drugs and related materials will be seized as part of the investigation.\n7. Forensic Analysis: The seized substances will undergo forensic testing to confirm their nature.\n8. Legal Proceedings: The case will be brought to court for prosecution.\n9. Seek Legal Counsel: It is advisable to consult with a lawyer for guidance throughout the process.\n10. Sentencing: If the accused is convicted, they will face sentencing as per applicable laws.\n11. Victim Protection: Request protection measures if you have concerns about retaliation.\n12. Path to Homepage: Click here to go back to the homepage.\n13. File a Case: Click on 'File a Case' to report the drug trafficking.\n14. Provide Details: Fill in all necessary details regarding the trafficking activities.\n15. Upload Evidence: Attach any evidence or documents pertinent to the case.\n16. Submit: Review all information and submit your case for further action."
burglary_attempt,"1. Secure the Area: Ensure that the location is safe and secure to prevent further attempts.\n2. Report the Incident: Immediately notify local law enforcement about the attempted burglary.\n3. Evidence Collection: Gather evidence such as photographs of any damage, footprints, or tools used.\n4. File an FIR: Go to the nearest police station to file a First Information Report (FIR) for the attempted burglary.\n5. Police Investigation: Allow the police to conduct an investigation, including taking statements and collecting evidence.\n6. Witness Statements: If there were any witnesses, collect their statements and contact information.\n7. Surveillance Footage: Check for any available surveillance footage from nearby cameras.\n8. Preventive Measures: Consider enhancing security measures such as alarms or locks.\n9. Legal Assistance: Consult with a lawyer to understand your rights and options.\n10. Path to Homepage: Click here to go back to the homepage.\n11. File a Case: Click on 'File a Case' to report the burglary attempt.\n12. Provide Details: Fill in all necessary details about the incident.\n13. Upload Evidence: Attach any evidence or documents related to the case.\n14. Submit: Review the information and submit your case for further action."
lost_item,"1. Report the Loss: Notify the local authorities about the lost item as soon as possible.\n2. Provide Details: Give a detailed description of the lost item, including any identifying features.\n3. File a Report: Fill out a lost property report at the police station or online.\n4. Search for the Item: Conduct a thorough search in the area where you lost the item.\n5. Check Local Listings: Monitor local lost and found listings, community boards, and social media groups.\n6. Follow Up: Check back with the police periodically to see if the item has been turned in.\n7. Claim Process: If found, follow the process outlined by authorities to claim your item.\n8. Path to Homepage: Click here to go back to the homepage.\n9. File a Case: Click on 'File a Case' to report the lost item.\n10. Provide Details: Fill in all necessary details about the lost item.\n11. Upload Evidence: Attach any evidence or documents related to the case.\n12. Submit: Review the information and submit your case for further action."
traffic_violation,"1. Pull Over Safely: Safely pull over to the side of the road when signaled by law enforcement; \n2. Remain Calm: Stay calm and avoid any sudden movements when approached by an officer; \n3. Provide Documentation: Hand over your driver's license registration and insurance to the officer; \n4. Understand the Charges: Listen carefully to the officer's explanation of the traffic violation; \n5. Ask Questions: If unclear ask the officer to clarify the details of the violation; \n6. Accept Citation: If issued a citation accept it without argument and sign if required; \n7. Contest the Ticket: If you believe the ticket is unjust follow the procedures to contest it in court; \n8. Path to Homepage: Click here to go back to the homepage; \n9. File a Case: Click on 'File a Case' to report the traffic violation; \n10. Provide Details: Fill in all necessary details about the violation; \n11. Upload Evidence: Attach any evidence or documents related to the case; \n12. Submit: Review the information and submit your case for further action."
police clearance certificate,"1. Gather Required Documents: Collect all necessary documents including ID proof and address proof; \n2. Visit the Police Station: Go to your local police station that issues clearance certificates; \n3. Fill Application Form: Complete the application form for the police clearance certificate; \n4. Provide Fingerprints: Some jurisdictions may require fingerprinting as part of the application; \n5. Pay Fees: Pay any applicable fees for processing the certificate; \n6. Verification Process: The police will conduct a background check based on your application; \n7. Certificate Issuance: After verification the police will issue your clearance certificate; \n8. Path to Homepage: Click here to go back to the homepage; \n9. File a Case: Click on 'File a Case' to report for the police clearance certificate; \n10. Provide Details: Fill in all necessary details for the certificate application; \n11. Upload Evidence: Attach any evidence or documents related to your request; \n12. Submit: Review the information and submit your case for further action."
kidnapping,"1. Report Immediately: Call the police immediately upon suspecting a kidnapping; \n2. Provide Details: Give law enforcement all available details about the victim and the situation; \n3. Gather Evidence: Collect any evidence such as photos videos or witness statements; \n4. Cooperate with Authorities: Work closely with the police during their investigation; \n5. Public Awareness: Alert the public through media or social networks if appropriate; \n6. Avoid Confrontation: Do not attempt to confront the kidnappers yourself; \n7. Follow Instructions: Adhere to law enforcement's instructions for your safety and the victim's; \n8. Legal Representation: Consult with a lawyer for guidance during this process; \n9. Path to Homepage: Click here to go back to the homepage; \n10. File a Case: Click on 'File a Case' to report the kidnapping; \n11. Provide Details: Fill in all necessary details about the incident; \n12. Upload Evidence: Attach any evidence or documents related to the case; \n13. Submit: Review the information and submit your case for further action."
rental_vehicle_not_returned,"1. Contact the Renter: Reach out to the renter directly to inquire about the vehicle. Document all communication attempts.\n2. Send a Formal Notice: If there’s no response send a formal notice demanding the return of the vehicle including a deadline for compliance.\n3. Report to Authorities: If the vehicle is still not returned consider reporting it to local law enforcement as a potential theft.\n4. Consult Legal Professionals: If necessary consult a lawyer about filing a breach of contract lawsuit to recover damages.\n5. File a Case: If the issue persists go to the home page and click on “File a Case” to report the situation officially."

